"id","district","latitude","longitude"
"1","Cumilla","23.4682747","91.1788135"
"2","Feni","23.023231","91.3840844"
"3","Brahmanbaria","23.9570904","91.1119286"
"4","Rangamati","22.65561018","92.17541121"
"5","Noakhali","22.869563","91.099398"
"6","Chandpur","23.2332585","90.6712912"
"7","Lakshmipur","22.942477","90.841184"
"8","Chattogram","22.335109","91.834073"
"9","Coxsbazar","21.44315751","91.97381741"
"10","Khagrachhari","23.119285","91.984663"
"11","Bandarban","22.1953275","92.2183773"
"12","Sirajganj","24.4533978","89.7006815"
"13","Pabna","23.998524","89.233645"
"14","Bogura","24.8465228","89.377755"
"15","Rajshahi","24.37230298","88.56307623"
"16","Natore","24.420556","89.000282"
"17","Joypurhat","25.09636876","89.04004280"
"18","Chapainawabganj","24.5965034","88.2775122"
"19","Naogaon","24.83256191","88.92485205"
"20","Jashore","23.16643","89.2081126"
"21","Satkhira","22.7180905","89.0687033"
"22","Meherpur","23.762213","88.631821"
"23","Narail","23.172534","89.512672"
"24","Chuadanga","23.6401961","88.841841"
"25","Kushtia","23.901258","89.120482"
"26","Magura","23.487337","89.419956"
"27","Khulna","22.815774","89.568679"
"28","Bagerhat","22.651568","89.785938"
"29","Jhenaidah","23.5448176","89.1539213"
"30","Jhalakathi","22.6422689","90.2003932"
"31","Patuakhali","22.3596316","90.3298712"
"32","Pirojpur","22.5781398","89.9983909"
"33","Barisal","22.7004179","90.3731568"
"34","Bhola","22.685923","90.648179"
"35","Barguna","22.159182","90.125581"
"36","Sylhet","24.8897956","91.8697894"
"37","Moulvibazar","24.482934","91.777417"
"38","Habiganj","24.374945","91.41553"
"39","Sunamganj","25.0658042","91.3950115"
"40","Narsingdi","23.932233","90.71541"
"41","Gazipur","24.0022858","90.4264283"
"42","Shariatpur","23.2060195","90.3477725"
"43","Narayanganj","23.63366","90.496482"
"44","Tangail","24.264145","89.918029"
"45","Kishoreganj","24.444937","90.776575"
"46","Manikganj","23.8602262","90.0018293"
"47","Dhaka","23.7115253","90.4111451"
"48","Munshiganj","23.5435742","90.5354327"
"49","Rajbari","23.7574305","89.6444665"
"50","Madaripur","23.164102","90.1896805"
"51","Gopalganj","23.0050857","89.8266059"
"52","Faridpur","23.6070822","89.8429406"
"53","Panchagarh","26.3411","88.5541606"
"54","Dinajpur","25.6217061","88.6354504"
"55","Lalmonirhat","25.9165451","89.4532409"
"56","Nilphamari","25.931794","88.856006"
"57","Gaibandha","25.328751","89.528088"
"58","Thakurgaon","26.0336945","88.4616834"
"59","Rangpur","25.7558096","89.244462"
"60","Kurigram","25.805445","89.636174"
"61","Sherpur","25.0204933","90.0152966"
"62","Mymensingh","24.7465670","90.4072093"
"63","Jamalpur","24.937533","89.937775"
"64","Netrokona","24.870955","90.727887"
